date,open,high,low,close
Mon Feb 03 2014 00:00:00 GMT+1100 (AEDT),100,100.03422412144354,99.39380257734813,99.39380257734813
Tue Feb 04 2014 00:00:00 GMT+1100 (AEDT),99.47899938926918,99.64788179237571,98.70922080129881,98.72296381188752
Wed Feb 05 2014 00:00:00 GMT+1100 (AEDT),98.88176683538727,99.05442677430393,98.02978308254453,98.35444629231586
Thu Feb 06 2014 00:00:00 GMT+1100 (AEDT),98.4133676628282,98.56595226778151,97.9318079892499,98.4760965296451
Fri Feb 07 2014 00:00:00 GMT+1100 (AEDT),98.54334348913666,99.49516363534602,98.54334348913666,99.44282462253406
Mon Feb 10 2014 00:00:00 GMT+1100 (AEDT),99.5426718528641,99.90817942006302,99.18765553783885,99.58427361142378
Tue Feb 11 2014 00:00:00 GMT+1100 (AEDT),99.67988609875763,100.08242589735771,99.35698985585944,99.35698985585944
Wed Feb 12 2014 00:00:00 GMT+1100 (AEDT),99.23761060827094,99.84247452820559,99.15899288171765,99.39130859016204
Thu Feb 13 2014 00:00:00 GMT+1100 (AEDT),99.28651539821583,99.28651539821583,98.67079731703517,98.97551253081
Fri Feb 14 2014 00:00:00 GMT+1100 (AEDT),98.96512623298253,99.37395837889225,98.42714057172522,98.73727575846983
Mon Feb 17 2014 00:00:00 GMT+1100 (AEDT),98.75207049075216,98.92111399157479,98.09505124640316,98.12360265514005
Tue Feb 18 2014 00:00:00 GMT+1100 (AEDT),98.13585104617117,99.18722404900343,98.13560073711027,99.0679389582021
Wed Feb 19 2014 00:00:00 GMT+1100 (AEDT),98.96941351266491,99.46205336020485,98.7425391470697,99.37148729939425
Thu Feb 20 2014 00:00:00 GMT+1100 (AEDT),99.35114085150765,100.1063971757581,99.35114085150765,99.60390815584977
Fri Feb 21 2014 00:00:00 GMT+1100 (AEDT),99.65018184588332,99.90713395455684,98.58387905707691,98.70232108969135
Mon Feb 24 2014 00:00:00 GMT+1100 (AEDT),98.72714592242319,99.32756639827157,98.50978478900404,98.59330211357576
Tue Feb 25 2014 00:00:00 GMT+1100 (AEDT),98.63040313429265,99.12093414415496,98.36475744345347,98.99029420685817
Wed Feb 26 2014 00:00:00 GMT+1100 (AEDT),99.07674339609484,99.07674339609484,98.09633404257363,98.42047415081976
Thu Feb 27 2014 00:00:00 GMT+1100 (AEDT),98.53884501320455,98.77754143877692,98.12078003722317,98.63910439186199
Fri Feb 28 2014 00:00:00 GMT+1100 (AEDT),98.68485563589883,99.04440385856435,98.34675815918658,98.73696691764736
Mon Mar 03 2014 00:00:00 GMT+1100 (AEDT),98.78549229971655,99.18781499306131,98.46419435143227,99.18781499306131
Tue Mar 04 2014 00:00:00 GMT+1100 (AEDT),99.19852723146602,99.69354705027747,98.94440203263892,99.51527195107974
Wed Mar 05 2014 00:00:00 GMT+1100 (AEDT),99.47404933930382,99.75530319620637,98.5566888349863,98.5566888349863
Thu Mar 06 2014 00:00:00 GMT+1100 (AEDT),98.6196189594584,99.40408886092885,98.44866154983443,99.21200021823745
Fri Mar 07 2014 00:00:00 GMT+1100 (AEDT),99.26906648564224,99.62335738268814,99.05947378660836,99.29225149279772
Mon Mar 10 2014 00:00:00 GMT+1100 (AEDT),99.50972153448821,99.7424004891667,99.50972153448821,99.55937165475085
Tue Mar 11 2014 00:00:00 GMT+1100 (AEDT),99.46860185470439,99.83856171620991,99.26403007426147,99.69724131454664
Wed Mar 12 2014 00:00:00 GMT+1100 (AEDT),99.63852414643351,99.89362009987221,99.12950888340963,99.37547693111256
Thu Mar 13 2014 00:00:00 GMT+1100 (AEDT),99.56220097884862,100.41662919201438,99.38670119258809,100.30264545996945
Fri Mar 14 2014 00:00:00 GMT+1100 (AEDT),100.41859786195592,100.79982414178353,100.28083164007575,100.65006438928135
Mon Mar 17 2014 00:00:00 GMT+1100 (AEDT),100.7582118002988,101.08222145584125,100.33334023654471,101.02384840518789
Tue Mar 18 2014 00:00:00 GMT+1100 (AEDT),101.02261895016365,101.42151434845024,100.61366097988868,101.00718800162018
Wed Mar 19 2014 00:00:00 GMT+1100 (AEDT),100.99877850411032,101.34185025410964,100.60498201966845,101.34185025410964
Thu Mar 20 2014 00:00:00 GMT+1100 (AEDT),101.33321054529947,101.77036964798563,100.92609922568398,101.45130408265447
Fri Mar 21 2014 00:00:00 GMT+1100 (AEDT),101.48550325098695,102.51702834391308,101.42937713231093,102.36974347043565
